,id,price_tnd,price_eur,location,city,governorate,Area,pieces,room,bathroom,age,state,latt,long,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
1,863e62e5-0bfe-49f3-ad97-e0ae91be68e9,3250000.0,1007500.0,El Kantaoui,Hammam Sousse, Sousse,1000.0,26.0,16.0,14.0,30-50 ,1.0,35.898175,10.58025,108.792931586895,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
5,67e06050-57c0-4665-8a2e-a9010b578e4a,1000000.0,310000.0,Sousse Riadh,Sousse Riadh, Sousse,1000.0,23.0,16.0,9.0,1-5 ,2.0,35.81433,10.63392,119.603210703078,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,da303b71-fba9-42e9-a236-16ec176309d9,1200000.0,372000.0,Bou Mhel,Boumhel Bassatine,Ben Arous,510.0,18.0,14.0,4.0,5-10 ,1.0,36.57724,10.34246,30.8152660477654,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16,ffc63109-309e-4026-aecf-6ccb22447c38,950000.0,294500.0,El Gourjani,Tunis,tunis,538.0,17.0,16.0,5.0,30-50 ,1.0,36.81881,10.16596,2.19113226059161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,12c80a59-8f9d-4cee-9554-eeae7aa3ab9c,650000.0,201500.0,Raoued,Raoued,Ariana,400.0,17.0,9.0,4.0,1-5 ,2.0,36.9575109148325,10.2257441043854,17.2428208849554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20,299f72f1-e107-4852-8b10-e90e1d207c36,2200000.0,682000.0,Hammamet,Hammamet,Nabeul,1000.0,16.0,6.0,6.0,1-5 ,1.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
21,160bfa7c-355a-426f-ba71-0b4ac44e75a5,1950000.0,604500.0,Riadh al Andalous,Ariana Ville,Ariana,800.0,16.0,10.0,8.0,0,2.0,36.8625,10.19556,6.32498837542227,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
31,06b33341-02b0-4802-8820-ea7867c08e07,1400000.0,434000.0,El Menzah 9,El Menzah,tunis,630.0,15.0,8.0,5.0,10-20 ,0.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
33,4ff16498-1e0e-4ed2-8427-826f7074ce13,800000.0,248000.0,Hammamet Nord,Hammamet,Nabeul,460.0,15.0,4.0,4.0,0,2.0,36.40108,10.61457,65.4597220191691,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
36,f3d44f5b-dcb6-4e13-bc46-b65551878efd,900000.0,279000.0,Aouina,La Marsa,tunis,700.0,14.0,10.0,4.0,10-20 ,1.0,36.8562350087038,10.2621495286255,10.4901199641479,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,79f59a9c-cb16-469d-8f11-08009c2fc655,1400000.0,434000.0,Mahdia Ville,Mahdia Ville,Mahdia,420.0,14.0,12.0,12.0,0,2.0,35.5038453869607,11.0697102533341,173.267710844941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
40,76c38cbc-d43f-4001-922a-854139aeea0a,520000.0,161200.0,El Mourouj 4,El Mourouj,Ben Arous,300.0,14.0,6.0,4.0,1-5 ,1.0,36.6938694,10.2622167,15.2468224381805,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
41,b570909d-2bd4-4862-b2ec-6fe91c861368,6200000.0,1922000.0,Mutuelle Ville,El Menzah,tunis,2000.0,13.0,10.0,5.0,10-20 ,1.0,36.845235,10.164723,4.6317218774898,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,ef521da5-ae78-4e61-8ac4-0776b7b17320,2300000.0,713000.0,Chotrana 3,La Soukra,Ariana,1900.0,13.0,8.0,4.0,5-10 ,1.0,36.883333,10.25,11.3450822580238,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
43,0ce9e02b-d2b0-455c-a53a-b89bc40e2815,1850000.0,573500.0,Montfleury,Tunis,tunis,1187.0,13.0,6.0,4.0,30-50 ,0.0,36.81881,10.16596,2.19113226059161,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
